Assembly	Temperature	pH	RefLink	genome_size	L50	N50	Domain	Phylum	Class	Order	Family	Genus	Species	tax_cluster_id	NCBI_Species
GCA_000172995.2	Thermophiles		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC545725/	3944467	1	2820544	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halogeometricum	Halogeometricum borinquense	469382	Halogeometricum borinquense
GCA_000175575.2	Thermophiles	Acidophiles	https://bacdive.dsmz.de/strain/126	2987045	1	2777717	Bacteria	Proteobacteria	Gammaproteobacteria	Acidithiobacillales	Acidithiobacillaceae	Acidithiobacillus_A	Acidithiobacillus_A caldus	637389	Acidithiobacillus caldus ATCC 51756
GCA_000179575.2	Thermophiles		https://doi.org/10.1099/00207713-52-4-1089	1677455	1	1662525	Archaea	Methanobacteriota_A	Methanococci	Methanococcales	Methanococcaceae	Methanothermococcus_A	Methanothermococcus_A okinawensis	647113	Methanothermococcus okinawensis IH1
GCA_000183545.3		Alkaliphiles	https://pubmed.ncbi.nlm.nih.gov/12054240/	2888741	1	1536897	Bacteria	Firmicutes_E	Thermaerobacteria	Thermaerobacterales	Thermaerobacteraceae	Thermaerobacter	Thermaerobacter subterraneus	867903	Thermaerobacter subterraneus DSM 13965
GCA_000186365.1	Hyperthermophiles		https://doi.org/10.1099/ijsem.0.000747	1314639	1	1314639	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Desulfurococcaceae	Desulfurococcus	Desulfurococcus mucosus	765177	Desulfurococcus mucosus 07/1, DSM 2162
GCA_000188055.3	Mesophiles		https://bacdive.dsmz.de/strain/14822	2130431	1	2130431	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus urinalis	764291	Streptococcus urinalis 2285-97
GCA_000188295.1	Mesophiles		https://bacdive.dsmz.de/strain/14794	1872773	17	38245	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus vestibularis	1343	Streptococcus vestibularis
GCA_000190315.1	Hyperthermophiles		https://doi.org/10.1128/jb.00237-11	2298983	1	2298983	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermocladiaceae	Vulcanisaeta	Vulcanisaeta moutnovskia	985053	Vulcanisaeta moutnovskia 768-28
GCA_000193375.1	Thermophiles	Acidophiles	https://doi.org/10.1128/jb.00409-11	1936063	1	1936063	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus uzoniensis	999630	Thermoproteus uzoniensis 768-20
GCA_000195575.1	Psychrophiles	Alkaliphiles	https://link.springer.com/article/10.1007/s00792-011-0377-0	2685399	1	2635294	Bacteria	Firmicutes	Bacilli	Lactobacillales	Carnobacteriaceae	Carnobacterium_A	Carnobacterium_A sp000195575	208596	Carnobacterium sp. 17-4
GCA_000195915.1	Thermophiles	Acidophiles	https://bacdive.dsmz.de/strain/17017	1564906	1	1564906	Archaea	Thermoplasmatota	Thermoplasmata	Thermoplasmatales	Thermoplasmataceae	Thermoplasma	Thermoplasma acidophilum	273075	Thermoplasma acidophilum DSM 1728
GCA_000195935.2	Hyperthermophiles		https://bacdive.dsmz.de/strain/16859	1768562	1	1765118	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus abyssi	272844	Pyrococcus abyssi GE5
GCA_000196795.1	Mesophiles		https://bacdive.dsmz.de/strain/157136	4152543	1	4152543	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter oleivorans	436717	Acinetobacter oleivorans DR1
GCA_000196895.1	Thermophiles	Alkaliphiles	https://pubmed.ncbi.nlm.nih.gov/17911300/	3698650	1	2809118	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halalkalicoccaceae	Halalkalicoccus	Halalkalicoccus jeotgali	795797	Halalkalicoccus jeotgali
GCA_000200715.1	Psychrophiles		https://doi.org/10.1073/pnas.93.13.6241	2045086	1	1281157	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Cenarchaeum	Cenarchaeum symbiosum	414004	Cenarchaeum symbiosum A
GCA_000202835.1		Acidophiles	https://www.nite.go.jp/en/nbrc/genome/project/annotation/am1.html	4214744	1	3749411	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Acidiphilium	Acidiphilium multivorum	349163	Acidiphilium cryptum JF-5
GCA_000204925.1	Thermophiles	Acidophiles	https://doi.org/10.1099/ijs.0.026591-0	1840348	1	1840348	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera cuprina	1006006	Metallosphaera cuprina Ar-4
GCA_000211475.1	Hyperthermophiles		https://doi.org/10.1128/jb.05150-11	1861320	1	1861320	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus sp000211475	342949	Pyrococcus sp NA2
GCA_000212395.1	Thermophiles		https://doi.org/10.1007/s00792-003-0320-0	1898865	1	1898865	Bacteria	Thermodesulfobiota	Thermodesulfobiia	Thermodesulfobiales	Thermodesulfobiaceae	Thermodesulfobium	Thermodesulfobium narugense	747365	Thermodesulfobium narugense DSM 14796
GCA_000214415.1	Hyperthermophiles		https://doi.org/10.1038/s42003-021-01828-5	1854197	1	1854197	Archaea	Methanobacteriota_A	Methanococci	Methanococcales	Methanococcaceae	Methanotorris	Methanotorris igneus	880724	Methanotorris igneus Kol 5
GCA_000214725.1	Mesophiles		https://doi.org/10.1099/ijs.0.059964-0	2546541	1	2546541	Archaea	Methanobacteriota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobacterium_C	Methanobacterium_C paludis	868131	Methanobacterium paludis
GCA_000215995.1	Hyperthermophiles	Acidophiles	https://bacdive.dsmz.de/strain/161812	1716818	1	1716818	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Pyrococcus	Pyrococcus yayanosii	529709	Pyrococcus yayanosii CH1
GCA_000217815.1	Thermophiles		https://link.springer.com/article/10.1007/s10482-013-0062-7	2039943	1	2039943	Bacteria	Thermotogota	Thermotogae	Thermotogales	DSM-5069	Pseudothermotoga	Pseudothermotoga thermarum	688269	Pseudothermotoga thermarum DSM 5069
GCA_000217995.1		Alkaliphiles	https://doi.org/10.1099/ijsem.0.000488	2138444	1	2138444	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanosalsum	Methanosalsum zhilinae	679901	Methanosalsum zhilinae DSM 4017
GCA_000219875.1	Thermophiles	Acidophiles	https://doi.org/10.1016/j.fm.2008.07.008	3124048	1	3124048	Bacteria	Firmicutes	Bacilli	Alicyclobacillales	Alicyclobacillaceae	Alicyclobacillus	Alicyclobacillus acidocaldarius_A	1048834	Alicyclobacillus acidocaldarius subsp. acidocaldarius Tc-4-1
GCA_000220175.2	Mesophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.002926	1607695	1	1607695	Archaea	Thermoproteota	Nitrososphaeria	Nitrososphaerales	Nitrosopumilaceae	Nitrosarchaeum	Nitrosarchaeum koreense	1088740	Nitrosarchaeum koreense MY1
GCA_000223395.1	Hyperthermophiles	Acidophiles	https://doi.org/10.1007/s007920050010	1843267	1	1843267	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Pyrodictiaceae	Pyrolobus	Pyrolobus fumarii	694429	Pyrolobus fumarii 1A
GCA_000226295.1	Thermophiles	Alkaliphiles	https://doi.org/10.1099/ijs.0.000113	3695372	1	2683362	Bacteria	Acidobacteriota	Blastocatellia	Chloracidobacteriales	Chloracidobacteriaceae	Chloracidobacterium	Chloracidobacterium thermophilum	458033	Chloracidobacterium thermophilum
GCA_000230715.3		Alkaliphiles	https://doi.org/10.1099/00207713-47-3-853	3788356	1	3788356	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natronobacterium	Natronobacterium gregoryi	797304	Natronobacterium gregoryi SP2
GCA_000234805.1	Hyperthermophiles		https://doi.org/10.1099/ijs.0.000027	2467972	1	2467972	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum ferrireducens	1104324	Pyrobaculum ferrireducens
GCA_000235405.3	Thermophiles		https://doi.org/10.3390/microorganisms11010022	2166381	1	2166381	Bacteria	Thermotogota	Thermotogae	Thermotogales	Fervidobacteriaceae	Fervidobacterium	Fervidobacterium pennivorans	93466	Fervidobacterium pennivorans
GCA_000235565.1	Mesophiles		https://bacdive.dsmz.de/strain/131756	2571034	1	2559043	Archaea	Halobacteriota	Methanosarcinia	Methanotrichales	Methanotrichaceae	Methanothrix_A	Methanothrix_A harundinacea_E	1110509	Methanosaeta harundinacea
GCA_000236925.1	Mesophiles		https://bacdive.dsmz.de/strain/130706	2787638	1	2762785	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus argenteus	985002	Staphylococcus argenteus
GCA_000237975.1		Acidophiles	https://doi.org/10.4056/sigs.2736042	3557831	1	3472898	Bacteria	Firmicutes_E	Sulfobacillia	Sulfobacillales	Sulfobacillaceae	Sulfobacillus_A	Sulfobacillus_A acidophilus	1051632	Sulfobacillus acidophilus TPY
GCA_000242595.3		Alkaliphiles	https://doi.org/10.1099/00207713-46-1-305	3285855	1	3285855	Bacteria	Spirochaetota	Spirochaetia	DSM-27196	DSM-8902	Spirochaeta_B	Spirochaeta_B africana	889378	Spirochaeta africana DSM 8902
GCA_000243255.1	Mesophiles		http://standardsingenomics.org/content/9/3/1076/	3200946	2	817855	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanomicrobiaceae	Methanoplanus	Methanoplanus limicola	937775	Methanoplanus limicola
GCA_000243315.1	Thermophiles	Acidophiles	https://doi.org/10.1128/aem.03416-13	2817452	9	69323	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Sulfolobaceae	Metallosphaera	Metallosphaera yellowstonensis	671065	Metallosphaera yellowstonensis MK1
GCA_000243455.2	Thermophiles		https://doi.org/10.1099/ijs.0.02887-0	1818783	21	29347	Archaea	Methanobacteriota_A	Methanococci	Methanococcales	Methanococcaceae	Methanotorris	Methanotorris formicicus	647171	Methanotorris formicicus Mc-S-70
GCA_000246985.3	Hyperthermophiles		https://bacdive.dsmz.de/strain/16862	2215172	1	2215172	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Thermococcus_A	Thermococcus_A litoralis	523849	Thermococcus litoralis DSM 5473
GCA_000247545.1	Hyperthermophiles		https://doi.org/10.1099/00207713-51-2-303	2452920	1	2436033	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermoproteaceae	Pyrobaculum	Pyrobaculum oguniense	698757	Pyrobaculum oguniense TE7, DSM 13380
GCA_000251105.1	Thermophiles		https://doi.org/10.1371/journal.pone.0035279	2378438	1	2378438	Archaea	Halobacteriota	Methanocellia	Methanocellales	Methanocellaceae	Methanocella	Methanocella conradii	1041930	Methanocella conradii
GCA_000252125.2	Psychrophiles		https://doi.org/10.1099/ijs.0.02857-0	3934101	5	257011	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium frigoris_A	229204	Flavobacterium frigoris
GCA_000253055.1	Hyperthermophiles	Acidophiles	https://bacdive.dsmz.de/strain/17031	1841542	1	1841542	Archaea	Thermoproteota	Thermoproteia	Thermoproteales	Thermoproteaceae	Thermoproteus	Thermoproteus tenax	768679	Thermoproteus tenax Kra 1
GCA_000255115.3		Acidophiles	https://doi.org/10.1007/s00792-014-0701-6	4991181	1	4926837	Bacteria	Firmicutes_B	Desulfitobacteriia	Desulfitobacteriales	Desulfitobacteriaceae	Desulfosporosinus	Desulfosporosinus acidiphilus	646529	Desulfosporosinus acidiphilus SJ4
GCA_000258515.1	Hyperthermophiles		https://doi.org/10.1128/jb.182.16.4632-4636.2000	1764559	1	1058616	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus zilligii	1151117	Thermococcus zilligii AN1
GCA_000264495.1	Hyperthermophiles		https://doi.org/10.1099/ijsem.0.000916	1356318	1	1356318	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Desulfurococcaceae	Thermogladius	Thermogladius calderae	1184251	Thermogladius calderae 1633
GCA_000265525.1	Hyperthermophiles		https://doi.org/10.1099/ijs.0.066100-0	1950313	1	1950313	Archaea	Methanobacteriota_B	Thermococci	Thermococcales	Thermococcaceae	Thermococcus	Thermococcus cleftensis	163003	Thermococcus cleftensis CL1
GCA_000275865.1	Mesophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-49-1-247	2475100	2	618726	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanofollaceae	Methanofollis	Methanofollis liminatans	28892	Methanofollis liminatans
GCA_000276805.1	Psychrophiles		https://doi.org/10.1099/ijs.0.65501-0	4889582	11	179330	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Moritellaceae	Moritella	Moritella dasanensis	1201293	Moritella dasanensis ArB 0140
GCA_000298075.1	Mesophiles		https://bacdive.dsmz.de/strain/14673	2366595	12	66587	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus massiliensis	1229783	Staphylococcus massiliensis S46
GCA_000304355.2	Mesophiles		https://bacdive.dsmz.de/strain/7016	2789774	1	2789774	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoculleaceae	Methanoculleus	Methanoculleus bourgensis	1201294	Methanoculleus bourgensis
GCA_000306725.1	Psychrophiles		https://journals.asm.org/doi/10.1128/AEM.01146-08	3072769	1	3072769	Archaea	Halobacteriota	Methanosarcinia	Methanosarcinales	Methanosarcinaceae	Methanolobus	Methanolobus psychrophilus		Methanolobus psychrophilus R15
GCA_000306765.2	Thermophiles		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7915512/	3904707	1	2948884	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Haloferax	Haloferax mediterranei	523841	Haloferax mediterranei
GCA_000317795.1	Thermophiles	Acidophiles	https://doi.org/10.1099/ijs.0.02580-0	1546846	1	1546846	Archaea	Thermoproteota	Thermoproteia	Sulfolobales	Acidilobaceae	Caldisphaera	Caldisphaera lagunensis	1056495	Caldisphaera lagunensis
GCA_000327485.1	Mesophiles		https://doi.org/10.1099/ijs.0.014811-0	2820858	1	2820858	Archaea	Halobacteriota	Methanomicrobia	Methanomicrobiales	Methanoregulaceae	Methanoregula	Methanoregula formicica	593750	Methanoregula formicica
GCA_000328685.1		Alkaliphiles	https://doi.org/10.1002/1521-4028(200112)41:6%3C375::aid-jobm375%3E3.0.co;2-0	4314118	1	4013216	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natronococcus	Natronococcus occultus	694430	Natronococcus occultus SP4
GCA_000336615.1	Thermophiles	Alkaliphiles	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64647-0	4225424	6	242125	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula amylolytica	1227452	Haloarcula amylolytica JCM 13557
GCA_000336755.1	Thermophiles	Acidophiles	https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65360-0	3952136	4	341465	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Haloferax	Haloferax elongans	1230453	Haloferax elongans
GCA_000336895.1	Mesophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-47-1-73	4147107	5	354023	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula argentinensis	1230451	Haloarcula argentinensis
GCA_000336935.1	Mesophiles	Alkaliphiles	https://doi.org/10.1016/j.ijbiomac.2021.02.081	4199784	10	105665	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Halococcaceae	Halococcus	Halococcus salifodinae	1227456	Halococcus salifodinae
GCA_000336995.1	Thermophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64305-0	3108525	5	208041	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	Halorubrum aidingense	1230454	Halorubrum aidingense
GCA_000337035.1	Mesophiles		https://bacdive.dsmz.de/strain/5944	3645313	12	81344	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	Halorubrum coriense	1227466	Halorubrum coriense
GCA_000337135.1	Mesophiles	Alkaliphiles	https://doi.org/10.1099/00207713-51-5-1693	4309274	13	129612	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrialba	Natrialba chahannaoensis	1227492	Natrialba chahannaoensis JCM 10990
GCA_000337375.1	Thermophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64305-0	3425042	9	148576	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	Halorubrum lipolyticum	1227482	Halorubrum lipolyticum
GCA_000337475.1	Thermophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64372-0	3522035	10	113767	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrinema	Natrinema limicola	1230457	Haloterrigena limicola
GCA_000337555.1	Mesophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-51-3-1133	4404175	7	174934	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrialba	Natrialba asiatica	29540	Natrialba asiatica DSM 12278
GCA_000337575.1	Mesophiles	Alkaliphiles	https://doi.org/10.1099/00207713-51-5-1693	4159606	8	159578	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natrialba	Natrialba hulunbeirensis	1227493	Natrialba hulunbeirensis JCM 10989
GCA_000337675.1		Alkaliphiles	https://doi.org/10.1099/00207713-45-4-762	4416525	7	232276	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natronococcus	Natronococcus amylolyticus	1227497	Natronococcus amylolyticus DSM 10524
GCA_000337695.1	Mesophiles		https://doi.org/10.1099/ijs.0.65120-0	4496185	20	76066	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natronococcus	Natronococcus jeotgali	1227498	Natronococcus jeotgali
GCA_000337735.1	Thermophiles	Alkaliphiles	https://doi.org/10.1099/ijs.0.64651-0	3460288	6	186182	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natronorubrum	Natronorubrum sulfidifaciens	1230460	Natronorubrum sulfidifaciens
GCA_000337775.1	Thermophiles		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC545725/	3923205	7	164661	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Haloarcula	Haloarcula vallismortis	662477	Haloarcula vallismortis
GCA_000337795.1	Thermophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-39-3-359?crawler=true	3825973	5	367032	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Haloferax	Haloferax denitrificans	662478	Haloferax denitrificans
GCA_000337815.1	Thermophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.65360-0	3368982	3	364210	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Haloferax	Haloferax mucosum	662479	Haloferax mucosum
GCA_000337915.1	Thermophiles		https://www.ncbi.nlm.nih.gov/pmc/articles/PMC545725/	3423703	7	183455	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloferacaceae	Halorubrum	Halorubrum saccharovorum	1227484	Halorubrum saccharovorum
GCA_000338275.1	Mesophiles		https://bacdive.dsmz.de/strain/14599	2939263	5	168102	Bacteria	Firmicutes	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus xylosus_B	1288	Staphylococcus xylosus
GCA_000344175.1	Mesophiles		https://bacdive.dsmz.de/strain/23081	2841134	18	48159	Bacteria	Firmicutes	Bacilli	Lactobacillales	Listeriaceae	Listeria	Listeria fleischmannii	1430899	Listeria fleischmannii 1991
GCA_000347775.1	Mesophiles		https://doi.org/10.1099/ijs.0.003145-0	4033468	4	293792	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Marinobacter	Marinobacter santoriniensis	1288826	Marinobacter santoriniensis NKSG1
GCA_000364845.1	Mesophiles		https://pubmed.ncbi.nlm.nih.gov/23117603/	5358909	2	2116327	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Oleiphilaceae	Marinobacter_A	Marinobacter_A nanhaiticus	626887	Marinobacter nanhaiticus D15-8W
GCA_000368025.1	Mesophiles		https://bacdive.dsmz.de/strain/8139	2912642	10	87875	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter parvus	981333	Acinetobacter parvus DSM 16617 = CIP 108168
GCA_000368825.1	Mesophiles		https://bacdive.dsmz.de/strain/155369	3535739	7	197770	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter ursingii	981336	Acinetobacter ursingii DSM 16037 = CIP 107286
GCA_000369065.1	Mesophiles		https://bacdive.dsmz.de/strain/137522	3513082	6	223629	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Acinetobacter	Acinetobacter haemolyticus	707232	Acinetobacter haemolyticus ATCC 19194
GCA_000373145.1	Thermophiles		https://doi.org/10.1099/00207713-46-2-403	2260954	4	184969	Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	Thermus oshimai	1123390	Thermus oshimai DSM 12092
GCA_000373205.1	Thermophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijsem.0.003270	3190628	5	277852	Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Calidithermus	Calidithermus timidus	1122223	Calidithermus timidus DSM 17022
GCA_000376225.1	Thermophiles		https://doi.org/10.1099/ijs.0.055814-0	3363524	16	74762	Bacteria	Firmicutes	Bacilli	Tumebacillales	Effusibacillaceae	Effusibacillus	Effusibacillus pohliae	1120973	Effusibacillus pohliae DSM 22757
GCA_000376265.1	Thermophiles		https://doi.org/10.1099/00207713-50-1-209	2225983	14	62194	Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	Thermus igniterrae	1123388	Thermus igniterrae ATCC 700962
GCA_000376425.1	Thermophiles		https://bacdive.dsmz.de/strain/6143	3609948	5	390006	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Thiobacillaceae	Thiobacillus	Thiobacillus denitrificans	1123392	Thiobacillus denitrificans DSM 12475
GCA_000378345.1		Alkaliphiles	https://www.sciencedirect.com/science/article/pii/S221359601530101X?via%3Dihub	3351270	2	631469	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Hyphomonadaceae	Hirschia	Hirschia maritima	551275	Hirschia maritima DSM 19733
GCA_000378465.1	Thermophiles		https://doi.org/10.1099/ijs.0.65294-0	4304237	11	135166	Bacteria	Proteobacteria	Alphaproteobacteria	Acetobacterales	Acetobacteraceae	Elioraea	Elioraea tepidiphila	1121861	Elioraea tepidiphila DSM 17972
GCA_000379085.1	Mesophiles		https://doi.org/10.1099/ijs.0.65662-0	3607771	3	420577	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Haloarculaceae	Halomicrobium	Halomicrobium katesii	1069082	Halomicrobium katesii DSM 19301
GCA_000381045.1	Thermophiles		https://bacdive.dsmz.de/strain/16724	2070699	14	45595	Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	Thermus scotoductus	1123391	Thermus scotoductus DSM 8553
GCA_000381745.1	Psychrophiles		https://doi.org/10.1099/ijs.0.65744-0	5204311	25	71929	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Psychromonadaceae	Psychromonas	Psychromonas ossibalaenae	1278307	Psychromonas ossibalaenae ATCC BAA-1528
GCA_000382145.1	Psychrophiles		https://doi.org/10.1099/ijs.0.008706-0	3176011	15	68007	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Psychrobacter	Psychrobacter lutiphocae	1123033	Psychrobacter lutiphocae DSM 21542
GCA_000383975.1		Alkaliphiles	https://doi.org/10.1099/00207713-49-1-261	4934841	3	899880	Archaea	Halobacteriota	Halobacteria	Halobacteriales	Natrialbaceae	Natronorubrum	Natronorubrum tibetense	1114856	Natronorubrum tibetense GA33
GCA_000419685.1	Psychrophiles		https://doi.org/10.1099/ijs.0.63423-0	3079036	3	453607	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium antarcticum	1111730	Flavobacterium antarcticum DSM 19726
GCA_000420245.1	Psychrophiles		https://doi.org/10.1099/ijs.0.64933-0	3979980	61	21332	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Psychromonadaceae	Psychromonas	Psychromonas hadalis	1278302	Psychromonas hadalis ATCC BAA-638
GCA_000421625.1	Thermophiles	Acidophiles	https://doi.org/10.1099/ijs.0.007013-0	2263010	4	241998	Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	Thermus islandicus	1123389	Thermus islandicus DSM 21543
GCA_000421725.1	Thermophiles		https://doi.org/10.1099/ijs.0.63723-0	2589957	7	142649	Bacteria	Firmicutes_A	Thermoanaerobacteria	Caldicellulosiruptorales	Caldicellulosiruptoraceae	Caldicellulosiruptor	Caldicellulosiruptor acetigenus	1121259	Caldicellulosiruptor acetigenus DSM 7040
GCA_000423105.1		Alkaliphiles	https://doi.org/10.1099/ijs.0.64830-0	2707549	6	155976	Bacteria	Firmicutes	Bacilli	Bacillales_D	Alkalibacillaceae	Halalkalibacillus	Halalkalibacillus halophilus	1121936	Halalkalibacillus halophilus DSM 18494
GCA_000423425.1	Thermophiles		https://doi.org/10.1016/j.syapm.2009.05.002	2747076	24	36712	Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Meiothermus	Meiothermus rufus	604331	Meiothermus rufus DSM 22234
GCA_000423905.1	Thermophiles		https://bacdive.dsmz.de/strain/16730	2165150	4	218058	Bacteria	Deinococcota	Deinococci	Deinococcales	Thermaceae	Thermus	Thermus antranikianii	1123386	Thermus antranikianii DSM 12462
GCA_000425165.1	Psychrophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/ijs.0.64099-0	4690166	7	218614	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Vibrionaceae	Photobacterium	Photobacterium halotolerans	1122959	Photobacterium halotolerans DSM 18316
GCA_000425485.1	Psychrophiles		https://www.microbiologyresearch.org/content/journal/ijsem/10.1099/00207713-50-3-1055	3774544	8	156379	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium tegetincola	1121901	Flavobacterium tegetincola DSM 22377
GCA_000425505.1	Psychrophiles		https://doi.org/10.1099/00207713-51-4-1235	3631041	6	250098	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium frigidarium	1121890	Flavobacterium frigidarium DSM 17623
GCA_000428725.1	Psychrophiles		https://doi.org/10.1099/ijs.0.65744-0	5534630	14	132944	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacterales	Psychromonadaceae	Psychromonas	Psychromonas aquimarina	1278312	Psychromonas aquimarina ATCC BAA-1526
